RecordType,Date,Time,Temperature,Humidity,AmbLight,Battery,MotDetects60secs,MotDets0-9secs,MotDets10-19secs,MotDets20-29secs,MotDets30-39secs,MotDets40-49secs,MotDets50-59secs,Lat,Long,Timestamp
1,25-06-02,18:46:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:46:00
1,25-06-02,18:47:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:47:00
1,25-06-02,18:48:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:48:00
1,25-06-02,18:49:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:49:00
1,25-06-02,18:50:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:50:00
1,25-06-02,18:51:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:51:00
1,25-06-02,18:52:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:52:00
1,25-06-02,18:53:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:53:00
1,25-06-02,18:54:00,21,51,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:54:00
1,25-06-02,18:55:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:55:00
1,25-06-02,18:56:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:56:00
1,25-06-02,18:57:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:57:00
1,25-06-02,18:58:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:58:00
1,25-06-02,18:59:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 18:59:00
1,25-06-02,19:00:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:00:00
1,25-06-02,19:01:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:01:00
1,25-06-02,19:02:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:02:00
1,25-06-02,19:03:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:03:00
1,25-06-02,19:04:00,21,51,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:04:00
1,25-06-02,19:05:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:05:00
1,25-06-02,19:06:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:06:00
1,25-06-02,19:07:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:07:00
1,25-06-02,19:08:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:08:00
